food_key,name,category,calories_kcal,protein_g,carbs_g,fat_g,sugar_g,fiber_g,sodium_mg
chocolate_bar,Chocolate Bar,sweets,535,7,59,30,52,3.4,79
cookies_chocolate_chip,Chocolate Chip Cookies,sweets,488,5.5,64,24,35,2.3,350
cake_chocolate,Chocolate Cake,sweets,371,5,50,17,37,2,315
ice_cream_vanilla,Vanilla Ice Cream,sweets,207,3.5,24,11,21,0.7,80
donut_glazed,Glazed Donut,sweets,417,4.5,57,19,25,2,450
candy_gummy,Gummy Candy,sweets,340,6,78,0.1,46,0,60
granola_bar,Granola Bar,snacks,471,10,64,19,29,5,250
nuts_mixed,Mixed Nuts,nuts_seeds,607,20,21,54,4,7,6
peanuts,Peanuts,nuts_seeds,567,26,16,49,4,8.5,18
dates,Dates,fruits,282,2.5,75,0.4,63,8,2
dark_chocolate,Dark Chocolate,sweets,546,4.9,61,31,48,7,24
basbousa,Basbousa,sweets,330,5,52,12,32,1.5,180
kunafa,Kunafa,sweets,400,7,45,22,28,1,220
rice_pudding,Rice Pudding,sweets,118,3.3,21,2,12,0.2,90
banana,Banana,fruits,89,1.1,22.8,0.3,12.2,2.6,1
apple,Apple,fruits,52,0.3,13.8,0.2,10.4,2.4,1
orange,Orange,fruits,47,0.9,11.8,0.1,9.4,2.4,0
grapes,Grapes,fruits,69,0.7,18.1,0.2,15.5,0.9,2
strawberries,Strawberries,fruits,32,0.7,7.7,0.3,4.9,2,1
blueberries,Blueberries,fruits,57,0.7,14.5,0.3,10,2.4,1
mango,Mango,fruits,60,0.8,15,0.4,13.7,1.6,1
watermelon,Watermelon,fruits,30,0.6,7.6,0.2,6.2,0.4,1
pineapple,Pineapple,fruits,50,0.5,13.1,0.1,9.9,1.4,1
avocado,Avocado,fruits,160,2,8.5,14.7,0.7,6.7,7
pear,Pear,fruits,57,0.4,15,0.1,9.8,3.1,1
kiwi,Kiwi,fruits,61,1.1,14.7,0.5,9,3,3
broccoli_steamed,Steamed Broccoli,vegetables,35,2.4,7.2,0.4,1.4,3.3,41
carrots_raw,Raw Carrots,vegetables,41,0.9,9.6,0.2,4.7,2.8,69
cucumber,Cucumber,vegetables,15,0.7,3.6,0.1,1.7,0.5,2
tomato,Tomato,vegetables,18,0.9,3.9,0.2,2.6,1.2,5
lettuce,Lettuce,vegetables,15,1.4,2.9,0.2,0.8,1.3,28
spinach,Spinach,vegetables,23,2.9,3.6,0.4,0.4,2.2,79
corn_cooked,Cooked Corn,vegetables,96,3.4,21,1.5,4.5,2.4,1
peas_cooked,Cooked Peas,vegetables,84,5.4,15.6,0.4,5.9,5.5,5
mixed_salad,Mixed Salad,vegetables,25,1.5,5,0.3,2.5,2,25
lentils_cooked,Cooked Lentils,legumes_beans,116,9,20,0.4,1.8,7.9,2
chickpeas_cooked,Cooked Chickpeas,legumes_beans,164,8.9,27.4,2.6,4.8,7.6,7
beans_black,Black Beans,legumes_beans,132,8.9,23.7,0.5,0.3,8.7,1
beans_kidney,Kidney Beans,legumes_beans,127,8.7,22.8,0.5,0.3,6.4,1
tofu_firm,Firm Tofu,soy,144,15.7,3.9,8.7,0.6,2.3,14
veggie_burger,Veggie Burger,vegetarian,190,11,18,9,2,4,450
